gameName,tagLine,platformRegion,puuid,proName,teamName,type,source,sourceSlug,league,role,tier,lp,wins,losses
PNG Caca,paiN,BR1,_ZC6w8-GRucjpMpH-CJN9m6bOaIe0HtnZsei01cIWg_fvtGhITUmN1aCP9w_fnz0YJR2tEx7V2UUgA,CarioK,paiN Gaming,pro,https://www.probuild.gg/pro/cariok,cariok,LTAS,jungle,Challenger,1963,489,354
felisa,KR1,KR,9tRZOxycmx8T61SgciXXMhMSwwmQI8jc2fwmgNIVADLGBOPnQcoeFtwCGDCIERwiAfUsExq8jC3rUw,JieJie,Invictus Gaming,pro,https://www.probuild.gg/pro/jiejie,jiejie,LPL,jungle,Challenger,1962,207,166
XiXi,716,KR,dR_h7YkcSx-FaCn0WeNcRsrR0nNjvRIqzZYLT0hW6igcFeuWrfNo3VbRt84X-nHDi6l9PixU2xhztw,Heng,Oh My God,pro,https://www.probuild.gg/pro/heng,heng,LPL,jungle,Challenger,1958,422,367
YONG2,6666,KR,k5JtOXTKz0SWVSXVjsFtiBv-AoF8oxVOxEMsl7GPCFh7X7GjWQ2ZZVzfRtPOCAxr7GkDV55TK9ioow,Weiwei,Suzhou LNG Ninebot Esports,pro,https://www.probuild.gg/pro/weiwei,weiwei,LPL,jungle,Challenger,1954,441,404
댕청잇,KR123,KR,rYi9ksJGqdujQNrPS0MsbG-KKb8i_DXTl6jVT2vb8E4Y526AnZeg1R1a5ahnwpED-5FdC9F1ymrOoQ,Kellin,BNK FEARX,pro,https://www.probuild.gg/pro/kellin,kellin,LCK,supp,Challenger,1953,175,127
Zeus,glgl,KR,9sbw7OVWB9DPFgptaepZLI6ooLsJousLf0GBf_U8gdj3KNoKfePbTPTYpIzGlIO4LXbKBOreSPywBQ,Zeus,Hanwha Life Esports,pro,https://www.probuild.gg/pro/zeus,zeus,LCK,top,Challenger,1939,250,216
asdjipadsjip,KR1,KR,UpB0t2Bd84QNZOSkA016ilgiFAUBNnBrb9DKn4Xcu4dtN7g1t5cfqTqaQYq0vggKDmhuVProYgyKjw,JunJia,CTBC Flying Oyster,pro,https://www.probuild.gg/pro/junjia,junjia,LCP,jungle,Challenger,1922,340,275
Sama,KR2,KR,FLR6yRMhjqjvtdIMlo8orV4VtQL02Yuj_Og27wA4quyYcT8KZGXkeH5LQ4e7rH_6vFmzQNbxinG_dA,Saber,Ultra Prime,pro,https://www.probuild.gg/pro/saber,saber,LPL,mid,Challenger,1905,255,218
patience,0718,KR,a-0PHDFbYekZuwMbejjjV5xzfirKyG1ne3bhbmF1c3FoOuZ6G6Vu8ue3OivaCbr7mkeuBL3FJ61T2A,Climber,Hangzhou LGD Gaming,pro,https://www.probuild.gg/pro/climber,climber,LPL,jungle,Challenger,1898,268,238
guz1vjppr0kut3,2810,KR,e4XSMmvGP_axev3dH6LVPTdY_7tB53XuFnn1bNw0wFh_1gUSeRuoRvmwy2jhtrRCrNdJzHK2bz54MA,Gury,MGN Vikings Esports,pro,https://www.probuild.gg/pro/gury,gury,LCP,jungle,Challenger,1880,424,374
liziyen,Gam,KR,zI2h-Fc7pZ1X7Bk_M9SLANlbbUYFvPms_aE8K3lcx-m7Y3HvGnagskBxHEJj1eTzmAoRntNF1qjzwQ,Kiaya,GAM Esports,pro,https://www.probuild.gg/pro/kiaya,kiaya,LCP,top,Challenger,1879,480,444
mtrngrxsyl,6146,KR,ZgJfad1fQYb8aJpKcKKd2CpRUnzyKIXtCuMyaDOk0DKkgz-PnebDYdRfExzSezPv_OAnGDa1cdn4JA,MISSING,Beijing JDG Intel Esports,pro,https://www.probuild.gg/pro/missing,missing,LPL,supp,Challenger,1875,250,211
Reeker,KZN,EUW1,CoFWQFd1guXfvp8w5MOV7v4qzqxMgjbtdPuY1TdD89myzj2oZ8H0kCoZfKnnXGiQjaJbPiloeaU2zA,RKR,SK Gaming,pro,https://www.probuild.gg/pro/rkr,rkr,LEC,mid,Challenger,1875,189,141
eqweqwdsad,123,KR,yv0LWDFjd0YlajxJc5KDe8cM8vyyIu5LhS5DOVMuIsA81XtoLREEI6CKIouuejtDIKSmdTwQJyogEw,Zika,Suzhou LNG Ninebot Esports,pro,https://www.probuild.gg/pro/zika,zika,LPL,top,Challenger,1871,286,257
밤이싫어,kr9,KR,g5A5PGXWwALHyspIMS9T9KuU_mgGMoWD9PpUUc7hVARr9KV83lK0Y_f4LyMtwm3U2xgV3ZDfZDgdIw,Hena,LYON,pro,https://www.probuild.gg/pro/hena,hena,LTAN,adc,Challenger,1861,548,514
songman,KR11,KR,vLR1olvLcjC_TM0OR8701TT737DedKqMB9BoLXG70v5BJ6Ft1nWGpWEnwvzsV_deu9KuBlKzuUBeuQ,Clear,BNK FEARX,pro,https://www.probuild.gg/pro/clear,clear,LCK,top,Challenger,1858,315,274
